Year,Party,League
1908,Republican,NL
1912,Democratic,AL
1916,Democratic,AL
1920,Republican,AL
1924,Republican,AL
1928,Republican,AL
1932,Democratic,AL
1936,Democratic,AL
1940,Democratic,NL
1944,Democratic,NL
1948,Democratic,AL
1952,Republican,AL
1956,Republican,AL
1960,Democratic,NL
1964,Democratic,NL
1968,Republican,AL
1972,Republican,AL
1976,Democratic,NL
1980,Republican,NL
1984,Republican,AL
1988,Republican,NL
1992,Democratic,AL
1996,Democratic,AL
2000,Republican,AL
2004,Republican,AL
2008,Democratic,NL
2012,Democratic,NL
